69536: ACCT,"Accnt Reqs Of Sec"
70253: ART,"Spec Prbm: Visual Arts Media I"
70254: ART,"Spec Prob Visual Art Media III"
70255: ART,"Spec Prob: Visual Arts Media 4"
70256: ART,"Spec Prob: Visual Arts Media 5"
70257: ART,"Spec Prob:Visual Arts Media II"
70258: ART,"Spec Probs: Media"
70259: ART,"Special Problems"
70260: ART,"Special Problems I"
70261: ART,"Special Problems II"
70262: ART,"Special Topic"
70263: ART,"Special Topics in Art History"
70264: ART,"Special Topics in Digital Art"
70265: ART,"Special Topics in Drawing"
70266: ART,"Special Topics in Painting"
70267: ART,"Special Topics in Photography"
70268: ART,"Special Topics in Printmaking"
70269: ART,"Special Topics in Sculpture"
70270: ART,"Special Topics in Studio Art I"
70271: ART,"Technqs &Anal Contemporary Art"
70272: ART,"The Aesthetics of Information"
70273: ART,"The Arts of Western Africa"
70274: ART,"The Emergence of Medieval Art"
70275: ART,"The Illusion of Life"
70276: ART,"The Medieval Object"
70277: ART,"The Political Body"
70278: ART,"Topic:Baroque Art &Archtecture"
70279: ART,"Topic:Natv Amer Art US &Canada"
70280: ART,"Topics Medieval Art"
70281: ART,"Topics Modern Euro & Amer Art"
70282: ART,"Topics:Baroque Art"
70283: ART,"Typographic Design"
70284: ART,"Visual Communic 1"
70285: ART,"Visual Communic 2"
70286: ART,"Visual Culture Studies"
70287: ART,"Wdblks Prints: Japan"
70288: ART,"Wearables and Soft Sculpture"
70289: ART,"Wksh Hist Photogr"
70290: ART,"Wksp Hist Design"
70291: ART,"Wksp Hist Of Phot"
70292: ART,"Wksp Tech Ment Ket"
70293: ART,"Women In Mod Art"
70294: ART,"Women and African Art"
70295: ART,"Women in Art"
70296: ART,"Women in Modern Art"
70297: ART,"Wood Sculpture 1"
70298: ART,"Wood Sculpture 2"
70299: ART,"Wood Sculpture I"
70300: ART,"Wood Sculpture II"
70301: ART,"Workshop In New Materials"
70302: ART,"Workshop in New Materials"
70303: ART,"Workshop in the History of Art"
70304: ART,"Workshop: Hist of Photography"
70305: ART,"Workshp Theory &Hist of Design"
70306: ART,"Writing and Practice"
70307: BIOL,"Adv Cell Cult Tech"
70308: BIOL,"Adv Cell Culture Techniques"
70309: BIOL,"Adv Cell&Molculr Bio"
70310: BIOL,"Adv Microbiol"
70311: BIOL,"Advance Cell &Molecular Biolgy"
70312: BIOL,"Advanced Study"
70313: BIOL,"Anatomy"
70314: BIOL,"Animal Form & Function Lab"
70315: BIOL,"Animal Form & Function Lab -WI"
70316: BIOL,"Animal Form & Lab"
70317: BIOL,"Animal Histology"
70318: BIOL,"Animal Physiology"
70319: BIOL,"Animal Physiology: Lecture"
70320: BIOL,"Anml Hist & Microtec"
70321: BIOL,"Applied Microbiology: Lecture"
70322: BIOL,"Behavioral Neuroendocrinology"
70323: BIOL,"Bio Electron Micro"
70324: BIOL,"Biol 38.1w"
70325: BIOL,"Biology Elective Credit"
70326: BIOL,"Biology Topics Wkshp"
70327: BIOL,"Biology for Today’s World"
70328: BIOL,"Biology of Estuaries"
70329: BIOL,"Biology:  The Study Of Life"
70330: BIOL,"Biometry"
70331: BIOL,"Biotechnology of Algae"
70332: BIOL,"Cancer Biology"
70333: BIOL,"Cell & Molclr Biol Technqs"
70334: BIOL,"Cell & Molec Bio Lab"
70335: BIOL,"Cell Biology: Lab"
70336: BIOL,"Cell Biology: Lecture"
70337: BIOL,"Cell and Molecular Biology"
70338: BIOL,"Cells In Culture"
70339: BIOL,"Cells in Culture"
70340: BIOL,"Colloquium"
70341: BIOL,"Comparat Physiology"
70342: BIOL,"Comparative Physiology"
70343: BIOL,"DNA Technology Lecture"
70344: BIOL,"DNA Technolology Lab"
70345: BIOL,"Developmental Anatomy"
70346: BIOL,"Developmental Biol"
70347: BIOL,"Developmental Biology"
70348: BIOL,"Developmental Biology: Lecture"
70349: BIOL,"Dna Technol Lab"
70350: BIOL,"Dna Technol Lect"
70351: BIOL,"Ecology"
70352: BIOL,"Ecology and Evolution"
70353: BIOL,"Ecology: Lecture"
70354: BIOL,"Endocrinol-Lec"
70355: BIOL,"Evol Bio Of Vert"
70356: BIOL,"Evolution"
70357: BIOL,"Exper Embro"
70358: BIOL,"Exper Parasitology"
70359: BIOL,"Experimental Biology: Lab"
70360: BIOL,"Experimental Biology: Lecture"
70361: BIOL,"Experimental: Lab"
70362: BIOL,"Field & Lab Methods In Ecology"
70363: BIOL,"Field Studies in Botany"
70364: BIOL,"Field Studies in Zoology"
70365: BIOL,"Fld&Lab In Ecology"
70366: BIOL,"Gen Biol 2"
70367: BIOL,"Gen Micro Lab H&Ntr"
70368: BIOL,"General 1"
70369: BIOL,"General 2"
70370: BIOL,"General Biology I"
70371: BIOL,"General Biology II"
70372: BIOL,"Genetics"
70373: BIOL,"Glob Bact70374: BIOL,"Global Bact70375: BIOL,"Gsci Elem Sch"
70376: BIOL,"Honors Lab Biol Research"
70377: BIOL,"Human Anatomy and Physiology 1"
70378: BIOL,"Human Anatomy and Physiology 2"
70379: BIOL,"Independent Lab Research 1"
70380: BIOL,"Independent Lab Research II"
70381: BIOL,"Independent Lab Research IV"
70382: BIOL,"Independent Library Research"
70383: BIOL,"Independent Research I"
70384: BIOL,"Independent Research II"
70385: BIOL,"Independent Research III"
70386: BIOL,"Independent Research IV"
70387: BIOL,"Invertebrate Zool"
70388: BIOL,"Invertebrate Zoology"
70389: BIOL,"Journal Club"
70390: BIOL,"Lab Research Writing Intnsv"
70391: BIOL,"Laboratory Research 1"
70392: BIOL,"Laboratory Research II"
70393: BIOL,"Lect In Genetics"
70394: BIOL,"Macromo Struct & Bio"
70395: BIOL,"Macromo Struct &Bioinformatics"
70396: BIOL,"Macromolec Struc &Bioinformatc"
70397: BIOL,"Macromolecular &Bioinformatics"
70398: BIOL,"Medical Microbiology"
70399: BIOL,"Microbial Ecology"
70400: BIOL,"Microbiolgy Lab for Health Sci"
70401: BIOL,"Microbiology"
70402: BIOL,"Microbiology Laboratory"
70403: BIOL,"Mod Concepts Bio 1"
70404: BIOL,"Mod Concepts Bio 2"
70405: BIOL,"Model Systms In Biol"
70406: BIOL,"Modern Concepts in Biology I"
70407: BIOL,"Modern Concepts in Biology II"
70408: BIOL,"Molec Bio Of Devel"
70409: BIOL,"Molec Phylogenetics & Evolutn"
70410: BIOL,"Molec Phylogenetics &Evolution"
70411: BIOL,"Molecular Biol of Development"
70412: BIOL,"Molecular Biology"
70413: BIOL,"Molecular and Macroevolution"
70414: BIOL,"Neurobiology"
70415: BIOL,"Non Flower Plants"
70416: BIOL,"Organismic Biology I70417: BIOL,"Organismic Biology II70418: BIOL,"Organismic Plant Lab"
70419: BIOL,"Phys Of Circ & Resp"
70420: BIOL,"Physiol Resrch Lab"
70421: BIOL,"Plant Form & Functn"
70422: BIOL,"Plant Physiology"
70423: BIOL,"Plant Physiology - Laboratory"
70424: BIOL,"Plant Physiology-Lecture"
70425: BIOL,"Principles of Ecology"
70426: BIOL,"Principles of Immunology"
70427: BIOL,"Recombinant DNA Laboratory"
70428: BIOL,"Recombinant DNA Technology"
70429: BIOL,"Research I"
70430: BIOL,"Research II"
70431: BIOL,"Research Topics in Biology"
70432: BIOL,"Scientific Writing"
70433: BIOL,"Seminar in Special Topics"
70434: BIOL,"Special Topics"
70435: BIOL,"The Human Microbiome"
70436: BIOL,"Thesis Research"
70437: BIOL,"Zoology: Organismic Biology II"
70438: BUMA,"Adv Econ & Bus Statistics"
70439: BUMA,"Adv Topcs:Green Busn"
70440: BUMA,"Adv Topics in Green Business"
70441: BUMA,"Advertising & Direct Marketing"
70442: BUMA,"Applied Business Research"
70443: BUMA,"Asian Business"
70444: BUMA,"Bargain & Conflict Resolution"
70445: BUMA,"Bus & Finance Contemp World"
70446: BUMA,"Business Analytics for Manager"
70447: BUMA,"Business Management of Sports"
70448: BUMA,"Business and Corporate Writing"
70449: BUMA,"Business and Government"
70450: BUMA,"Busn Comm & Data Visualization"
70451: BUMA,"Busn Practice & Jewish Traditn"
70452: BUMA,"Computer Management Games"
70453: BUMA,"Consumer Behavior"
70454: BUMA,"Corp Social Resp & Org Ldshp"
70455: BUMA,"Country Risk Analysis"
70456: BUMA,"Data Analysis I"
70457: BUMA,"Data Analysis II"
70458: BUMA,"Data Analysis III"
70459: BUMA,"Data Mining & Applied Machine"
70460: BUMA,"Data Visualization"
70461: BUMA,"Electronic Commerce"
70462: BUMA,"Elementary Macroeconomics"
70463: BUMA,"Elementary Microeconomics"
70464: BUMA,"Employment Law for Managers"
70465: BUMA,"Enterprise Risk Management"
70466: BUMA,"Entrepreneurship in Global Eco"
70467: BUMA,"Ethnic Mrktng & Multicult Bus"
70468: BUMA,"Fashion Marketing"
70469: BUMA,"Foundation Business Analytics"
70470: BUMA,"Foundation NonProfit Managment"
70471: BUMA,"Fraud Reptg/Forensic"
70472: BUMA,"Gender Diversity in Workplace"
70473: BUMA,"Global Business Environment"
70474: BUMA,"Global Logistics"
70475: BUMA,"Global Workplace Communication"
70476: BUMA,"Green Business"
70477: BUMA,"Green Real Estate"
70478: BUMA,"Health Economics and Policy"
70479: BUMA,"Independent Research Busness 2"
70480: BUMA,"Independent Research Busness I"
70481: BUMA,"Info Systems Project Managment"
70482: BUMA,"Innovation & Drive for Growth"
70483: BUMA,"International Business"
70484: BUMA,"Internet Marketng&Social Media"
70485: BUMA,"Internship"
70486: BUMA,"Internship: Fieldwork 1"
70487: BUMA,"Internship: Fieldwork 2"
70488: BUMA,"Intl Human Resource Management"
70489: BUMA,"Intro Econ & Busn Statistics"
70490: BUMA,"Jews Making A Living"
70491: BUMA,"Labor Relation in Free Society"
70492: BUMA,"Leadership in Organizations"
70493: BUMA,"Manag Diversity in Global Econ"
70494: BUMA,"Management Information Systems"
70495: BUMA,"Managerial Economics"
70496: BUMA,"Managing a Global Workforce"
70497: BUMA,"Marketing Management"
70498: BUMA,"Mathematical Economics I"
70499: BUMA,"Media Marketing and Promotion"
70500: BUMA,"Mgmt New&Emerging Technologies"
70501: BUMA,"Mgmt Techn Enterpr"
70502: BUMA,"Microeconomics Busn Decisions"
70503: BUMA,"Money and Banking"
70504: BUMA,"Negotation &Conflct Resolution"
70505: BUMA,"New Media and Business"
70506: BUMA,"Operations Management"
70507: BUMA,"Operatn Research &Decision Sci"
70508: BUMA,"Org Behavior &Diversity Mangmt"
70509: BUMA,"Organization Behavior"
70510: BUMA,"Personal Finance"
70511: BUMA,"Principles of Management"
70512: BUMA,"Principles of Marketing"
70513: BUMA,"Principles of Selling"
70514: BUMA,"Professional Develop & Success"
70515: BUMA,"Real Estate Management"
70516: BUMA,"Sem Business Managment &Policy"
70517: BUMA,"Seminar Special Topics in Bus"
70518: BUMA,"Seminar in Marketing Research"
70519: BUMA,"Seminar in Strategic Marketing"
70520: BUMA,"Small Business Management"
70521: BUMA,"Small Busn Oper & Entreprenshp"
70522: BUMA,"Strategic Human Resource Mgmt"
70523: BUMA,"Strategic Mgmt & Busn Policy"
70524: BUMA,"Stress Management in Workplace"
70525: BUMA,"Tax Regulation & Strategy"
70526: BUMA,"Text Analytics"
70527: BUMA,"Workplace Values and Happiness"
70528: BUSI,"Adv Advertising"
70529: BUSI,"Adv Econ & Bus Stat"
70530: BUSI,"Adv Econ & Bus Stats"
70531: BUSI,"Advert & Direct Mktg"
70532: BUSI,"Applied Bus Research"
70533: BUSI,"Asian Business"
70534: BUSI,"Banking Operations"
70535: BUSI,"Bargain & Conf Resol"
70536: BUSI,"Bus Pract & Jew Trad"
70537: BUSI,"Bus/Fin Contemp Wld"
70538: BUSI,"Business Management of Sports"
70539: BUSI,"Business Statistics"
70540: BUSI,"Business and Corporate Writing"
70541: BUSI,"Case Stud Retailing"
70542: BUSI,"Cmptr Mgmt Games"
70543: BUSI,"Computer Mgmt Games"
70544: BUSI,"Consumer Behavior"
70545: BUSI,"Corp Financ Mgmt"
70546: BUSI,"Electronic Commerce"
70547: BUSI,"Elementary Macroeconomics"
70548: BUSI,"Elementary Microeconomics"
70549: BUSI,"Entreship Global Eco"
70550: BUSI,"Ethnic Mkg & Multicu"
70551: BUSI,"Exec In Retailing"
70552: BUSI,"Fashion Marketing"
70553: BUSI,"Fdation Non-Prf Mgmt"
70554: BUSI,"Field Retail"
70555: BUSI,"Fin Instr&Pricing"
70556: BUSI,"Fraud Reptg/Forensic"
70557: BUSI,"Gen Wkpl/Glob Persp"
70558: BUSI,"Global Business Environment"
70559: BUSI,"Global Finance and Management"
70560: BUSI,"Green Business"
70561: BUSI,"Ind Rsrch Bus 1"
70562: BUSI,"Ind Rsrch Bus 2"
70563: BUSI,"Innovation Dr Growth"
70564: BUSI,"Insur & Taxation"
70565: BUSI,"Internship"
70566: BUSI,"Internship: Fieldwork I"
70567: BUSI,"Internship: Fieldwork II"
70568: BUSI,"Intl Human Res Mgmt"
70569: BUSI,"Intr Econ & Bus Stat"
70570: BUSI,"Intrntnl Bus & Mktg"
70571: BUSI,"Introduction to Management"
70572: BUSI,"Invest & Secur Mkts"
70573: BUSI,"Investment Science"
70574: BUSI,"Leadership in Organizations"
70575: BUSI,"Manag Div Glob Econ"
70576: BUSI,"Management Information Systems"
70577: BUSI,"Managerial Economics"
70578: BUSI,"Managerial Finance"
70579: BUSI,"Managing a Global Workforce"
70580: BUSI,"Marketing & Promotn"
70581: BUSI,"Marketing Management"
70582: BUSI,"Mathemat Econ 1"
70583: BUSI,"Mgmt Div Global Econ"
70584: BUSI,"Mgmt New & Emerg Tec"
70585: BUSI,"Micro Bus Decision"
70586: BUSI,"Money and Banking"
70587: BUSI,"Money and Capital Markets"
70588: BUSI,"Negot & Cnflct Resol"
70589: BUSI,"New Media & Business"
70590: BUSI,"Non Textiles"
70591: BUSI,"Operations Management"
70592: BUSI,"Operations Research"
70593: BUSI,"Opt Fut Commod Mkts"
70594: BUSI,"Organization Behavior"
70595: BUSI,"Organizational Behavior"
70596: BUSI,"Personal Finance"
70597: BUSI,"Personnel Management"
70598: BUSI,"Princ & Prob Eco"
70599: BUSI,"Princ Of Mktg Mgmt"
70600: BUSI,"Prof Devel & Success"
70601: BUSI,"Real Estate Fin & Mg"
70602: BUSI,"Sem Bus Mgmt & Polcy"
70603: BUSI,"Seminar in Business Finance"
70604: BUSI,"Seminar in Marketing Research"
70605: BUSI,"Seminar-Sp Topic"
70606: BUSI,"Sm Bus Oper & Enterp"
70607: BUSI,"Small Bus Mgmt"
70608: BUSI,"Stress/Mgmt Wkplace"
70609: BUSI,"Strt Mgmt&Bus Policy"
70610: BUSI,"Wholesale Merchand"
70611: BUSI,"Wkple Val&Happiness"
70612: CASD,"Anatomy&Physology Spec&Swallow"
70613: CASD,"Argumentation"
70614: CASD,"Articulatory Phonetics"
70615: CASD,"Assessment and Intervention 1"
70616: CASD,"Assessment and Intervention 2"
70617: CASD,"Assessment and Intervention 3"
70618: CASD,"Assessment in Spec-Lang Path"
70619: CASD,"Auditory Processing Disorders"
70620: CASD,"Augmentv & Alterntv Communcatn"
70621: CASD,"Autism Spectrum Disorders"
70622: CASD,"Beh Analy Lang70623: CASD,"Biling&Second Lang Acquisition"
70624: CASD,"Biling&Second Language Learner"
70625: CASD,"Cleft Palate Speech"
70626: CASD,"Clincal Pract &Sem inAudiology"
70627: CASD,"Clinic"
70628: CASD,"Clinical Audiology"
70629: CASD,"Clinical Found Spec-Lang Path"
70630: CASD,"Clinician-Client Relationship"
70631: CASD,"Comm Sciences & Disorders"
70632: CASD,"Comm for Business &Professions"
70633: CASD,"Comm in Individual with Autism"
70634: CASD,"Communication Disorders &Aging"
70635: CASD,"Communication Law and Policy"
70636: CASD,"Communication Theory"
70637: CASD,"Communication and Identity"
70638: CASD,"Communication and Sports"
70639: CASD,"Comp Application Clinical&Ed"
70640: CASD,"Conflict Managment in Business"
70641: CASD,"Conflict and Negotiation"
70642: CASD,"Crisis Communication"
70643: CASD,"Current Issues in CASD"
70644: CASD,"Diagnostics in Spec-Lang Path"
70645: CASD,"Disorders in Adults"
70646: CASD,"Dysphagia"
70647: CASD,"EI 1: Theory and Practice"
70648: CASD,"Earl Int: Clinic Pract&Seminar"
70649: CASD,"Early Intervention: 0 - 3"
70650: CASD,"Erly Inter II: ID70651: CASD,"Family Communication"
70652: CASD,"Fluency Disorders"
70653: CASD,"Fundamental Interpersonal Comm"
70654: CASD,"Gender and Communication"
70655: CASD,"Group Communication"
70656: CASD,"Health Communication"
70657: CASD,"Hearing-impaired Children"
70658: CASD,"Independent Research"
70659: CASD,"Independent Study"
70660: CASD,"Instrumentation Speech&Hearing"
70661: CASD,"Intercultural Communication"
70662: CASD,"Intervention Spec-Lang Disordr"
70663: CASD,"Intervention in Spec-Lang Path"
70664: CASD,"Intro Autism Spectrum Disorder"
70665: CASD,"Intro Communication Disorders"
70666: CASD,"Intro Rehabilitative Audiology"
70667: CASD,"Intro to Assistive Technology"
70668: CASD,"Intro to Clinical Audiology"
70669: CASD,"Lang Disordrs in Pre-Schoolers"
70670: CASD,"Language Acquisition"
70671: CASD,"Language Development:Birth-5Yr"
70672: CASD,"Language Development:Grade1-12"
70673: CASD,"Literacy&Lang Learng Disablty"
70674: CASD,"Medical Speech-Lang Pathology"
70675: CASD,"Modern Communication Theories"
70676: CASD,"Morphology"
70677: CASD,"Motor Speech Disorders"
70678: CASD,"Nature of Speech-Lang Disorder"
70679: CASD,"Neural Processes Communication"
70680: CASD,"Neurological Bases Comm&Disord"
70681: CASD,"Nonverbal Communication"
70682: CASD,"Oral Interpretation Child Lit"
70683: CASD,"Oral Interpretation: Poetry"
70684: CASD,"Oral Interpretation: Prose"
70685: CASD,"Org70686: CASD,"Organizational Communication"
70687: CASD,"Parliamentary Procedure"
70688: CASD,"Pedatric Feed&Swallow Disorder"
70689: CASD,"Perform Children’s Literature"
70690: CASD,"Problems Of Speech"
70691: CASD,"Prof Speech for ESL Speakers"
70692: CASD,"Professional Speech"
70693: CASD,"Proseminar SpeechLang Patholgy"
70694: CASD,"Proseminar in Audiology"
70695: CASD,"Public Address"
70696: CASD,"Public Speaking"
70697: CASD,"Research Spec-Lang Path & Aud"
70698: CASD,"Rhetoric & Public Address"
70699: CASD,"Sem in Rhetoric&Public Address"
70700: CASD,"Seminar"
70701: CASD,"Social Media Communication"
70702: CASD,"Sound Development & Disorders"
70703: CASD,"Spec Topic Comm Sci&Disorder 1"
70704: CASD,"SpecTopic Comm Sci&Disorder 2"
70705: CASD,"Special Topic"
70706: CASD,"Special Topics"
70707: CASD,"Speech Comm & Group Dynamics"
70708: CASD,"Speech Criticism"
70709: CASD,"Speech Disorder Cerebral Palsy"
70710: CASD,"Speech Laboratory"
70711: CASD,"Speech Lang &Hearing:Acoustics"
70712: CASD,"Speech Sci &Acoustic Phonetics"
70713: CASD,"Speech-Lang Path Educ Settings"
70714: CASD,"Survy Speech70715: CASD,"Teaching Autistic Students"
70716: CASD,"Teaching Students with Autism"
70717: CASD,"Techniques Speech Communcation"
70718: CASD,"The Nature of Stuttering"
70719: CASD,"Thesis Research"
70720: CASD,"Visual Communication"
70721: CASD,"Voice Disorders"
70722: CASD,"Workshop"
70723: CAST,"Carib Crnvl:Hist70724: CAST,"Caribbean Sexualities"
70725: CAST,"Climate Justice & Caribbean"
70726: CAST,"Crib Crnvl:Hist70727: CAST,"Intr Carib Studies"
70728: CAST,"Major Themes Caribbean Studies"
70729: CAST,"Spec Topics In Carib Studies"
70730: CAST,"Urban Caribbean Diaspora"
70731: CERT,"Certf’D Full Time"
70732: CHEM,"Adv Inorg Ch Tchers"
70733: CHEM,"Adv Inorg Chem 4 Ter"
70734: CHEM,"Adv Inorganic Chem 1"
70735: CHEM,"Adv Inorganic Chem 2"
70736: CHEM,"Adv Organic Chem 1"
70737: CHEM,"Adv Organic Chem 2"
70738: CHEM,"Adv Organic Lab Techniques"
70739: CHEM,"Adv Orgnic Lab Tch"
70740: CHEM,"Adv Syn Org Chem Lab"
70741: CHEM,"Advance Organic Chemistry"
70742: CHEM,"Advanced Biochemistry"
70743: CHEM,"Advanced Inorganic Chemistry"
70744: CHEM,"Advanced Organic Chemistry"
70745: CHEM,"Analytical Chemistry"
70746: CHEM,"Biochemistry"
70747: CHEM,"Biochemistry I"
70748: CHEM,"Biochemistry I Lectures"
70749: CHEM,"Biochemistry II Lectures"
70750: CHEM,"Biochemistry Laboratory I"
70751: CHEM,"Chem & Society"
70752: CHEM,"Chem Elem Schl Tchr"
70753: CHEM,"Chem Sec Schl Tchr"
70754: CHEM,"Chem Teaching Lab Managment"
70755: CHEM,"Chemical Kinetics"
70756: CHEM,"Chemical Thermodynam"
70757: CHEM,"Chemical Thermodynamics"
70758: CHEM,"Chemistry"
70759: CHEM,"Chemistry In Modern Life"
70760: CHEM,"Chemistry and Society"
70761: CHEM,"Chemistry in Arts &Archaeology"
70762: CHEM,"Chemistry in Modern Life"
70763: CHEM,"Colloquium I"
70764: CHEM,"Colloquium II"
70765: CHEM,"Environmental Chem"
70766: CHEM,"Environmental Chemistry"
70767: CHEM,"Foundations Physical Chemistry"
70768: CHEM,"Gen Chem/Health"
70769: CHEM,"Gen Chem:Health-Related  Prof"
70770: CHEM,"General Chemistry 2 Laboratory"
70771: CHEM,"General Chemistry I"
70772: CHEM,"General Chemistry I Laboratory"
70773: CHEM,"General Chemistry I Lecture"
70774: CHEM,"General Chemistry IA"
70775: CHEM,"General Chemistry IB"
70776: CHEM,"General Chemistry IB Lecture"
70777: CHEM,"General Chemistry II"
70778: CHEM,"General Chemistry II Lecture"
70779: CHEM,"Ind Dev of Lab Curric Material"
70780: CHEM,"Independent Research I"
70781: CHEM,"Independent Research II"
70782: CHEM,"Independent Research III"
70783: CHEM,"Industrial Internship in Chem"
70784: CHEM,"Industrial Intership"
70785: CHEM,"Inorganic Chemistry"
70786: CHEM,"Instrumental Analysis"
70787: CHEM,"Intro Inorganic Chem"
