10740: ACCT,"Accounting for the S.E.C"
13343: JOUR,"Independent Stdy in Journalism"
13344: JOUR,"Internship I"
13345: JOUR,"Internship II"
13346: JOUR,"Interv Mainstrm & Ethnic Media"
13347: JOUR,"Interv. Ethnic Media"
13348: JOUR,"Intro to Multilingual Media"
13349: JOUR,"Journalism Ethics"
13350: JOUR,"Journalism in the Movies"
13351: JOUR,"Multilingual Media"
13352: JOUR,"Multimedia Editing & Proofread"
13353: JOUR,"New Media"
13354: JOUR,"News Media"
13355: JOUR,"Online News Page Design&Editng"
13356: JOUR,"Print Journalism Workshop"
13357: JOUR,"Print Media"
13358: JOUR,"Reporting I"
13359: JOUR,"Reporting II"
13360: JOUR,"The African American Media"
13361: JOUR,"The Bx Journal Online Adv Wksp"
13362: JOUR,"The Opinion Makers"
13363: JOUR,"The U.S. Multilingual Market"
13364: JOUR,"Topics in Journalism"
13365: JOUR,"Tpcs:Multlngl Journl"
13366: LACS,"100-Level Elective"
13367: LACS,"19th Cent Span-Amer Literat"
13368: LACS,"200-Level Elective"
13369: LACS,"20c Latin Amer Poet"
13370: LACS,"Afro-Carib in World Politics"
13371: LACS,"Afro-Caribbn Society"
13372: LACS,"Black Brazil"
13373: LACS,"Black Feminisms"
13374: LACS,"Brazil Lit Colonial Pd-XX Cent"
13375: LACS,"Caribbean Societies"
13376: LACS,"Citational Practices&Politics"
13377: LACS,"Cntmp Lit-Sp &Spa Am"
13378: LACS,"Colonial Latin America"
13379: LACS,"Colonialism: Latin Am XIX Cent"
13380: LACS,"Comp His: Hispanic Caribbean"
13381: LACS,"Contemp Dominican Pol & Soc"
13382: LACS,"Contemporary P.Rican Pol & Soc"
13383: LACS,"Directed Independent Study"
13384: LACS,"Dominican-American Literature"
13385: LACS,"Dominicans in the U.S."
13386: LACS,"Early Civil South Ame & Caribb"
13387: LACS,"Eco Develop Lat Amer"
13388: LACS,"Erly Civ-Mex&Cen Ame"
13389: LACS,"Family & Gender Reltns Latinos"
13390: LACS,"Family&Gender Relations Latino"
13391: LACS,"Glbl Citznshp13392: LACS,"Haitian-Dominican Border"
13393: LACS,"History of Cuba"
13394: LACS,"History of Mexico"
13395: LACS,"History of Puerto Rico"
13396: LACS,"History of South America"
13397: LACS,"History of U.S. Latinos"
13398: LACS,"History of the Dominican Rep"
13399: LACS,"Intro His Lat Am Art"
13400: LACS,"Intro Mexican & Chicano/a Lit"
13401: LACS,"Intro to Mexican&Chicano/a Lit"
13402: LACS,"Lat Amer & Latino Stds Seminar"
13403: LACS,"Lat Amer Lit In Tran"
13404: LACS,"Lat Socl Movemnts&Civil Rights"
13405: LACS,"Latin Amer & Carib 1"
13406: LACS,"Latin Amer & US: 1823-Present"
13407: LACS,"Latin America"
13408: LACS,"Latin America & Caribbean I"
13409: LACS,"Latin America & Caribbean II"
13410: LACS,"Latin American Lit in Trans"
13411: LACS,"Latin American Popular Music"
13412: LACS,"Latin-American Cinema"
13413: LACS,"Latino Health"
13414: LACS,"Latino Lilterature"
13415: LACS,"Latino Media"
13416: LACS,"Latino Migrations"
13417: LACS,"Latino New York"
13418: LACS,"Latino Political Economy"
13419: LACS,"Latino Politics"
13420: LACS,"Latino Popular Culture"
13421: LACS,"Latino Studies Research Semina"
13422: LACS,"Latinos In The U.S."
13423: LACS,"Latinos in Film"
13424: LACS,"Latinos in the United States"
13425: LACS,"Latinx Literature"
13426: LACS,"Lit African Diaspora Latin Ame"
13427: LACS,"Lit Of Dominican Rep"
13428: LACS,"Lit Of The Caribbean"
13429: LACS,"Lit of Caribb & Carib Diaspora"
13430: LACS,"Lit of Caribbean & Diaspora"
13431: LACS,"Lit of Eng.&Franc. Caribbean"
13432: LACS,"Literature of the Caribbean"
13433: LACS,"Mexican Migration to the U.S."
13434: LACS,"Migration & PR Comm U.S."
13435: LACS,"Modern Latin America"
13436: LACS,"Music Of Caribbean"
13437: LACS,"Outsiders look at Mexico"
13438: LACS,"PR Lit I:16c to 1898 (in Span)"
13439: LACS,"Pol Syst Central Amer & Caribb"
13440: LACS,"Pol Syst Latin Amer"
13441: LACS,"Pre-Columbian Art"
13442: LACS,"Probs Hispanic World"
13443: LACS,"Puerto Rican Culture: Global"
13444: LACS,"Puerto Rican Lit II: 1898-Pres"
13445: LACS,"Puerto Rican Lit in English"
13446: LACS,"Puerto Rican Literature"
13447: LACS,"Puerto Rican Music"
13448: LACS,"Race&Ethn-Lat Am&Crb"
13449: LACS,"Religion in Hispaniola:"
13450: LACS,"Religions Lat Am-Carib-Lat US"
13451: LACS,"Sel Stds Soc & Cult Latin Amer"
13452: LACS,"Sem-Slavry New World"
13453: LACS,"Slavery in Latin America/Carib"
13454: LACS,"Soc & Eco His PR Ind Rev-Prsnt"
13455: LACS,"Spa Am Lit-Conquest"
13456: LACS,"Spanish American Civilization"
13457: LACS,"Spe Topics Lat Amer & Lat Stud"
13458: LACS,"The Economy of Puerto Rico"
13459: LACS,"The Mexican Revolution"
13460: LACS,"The Social Hsty of Hispaniola"
13461: LACS,"The Visual Arts in Puerto Rico"
13462: LACS,"Topics in Hispanic Literature"
13463: LACS,"Topics in Lat Ame & PR Studies"
13464: LACS,"Vis Cult Lat Am Carib Diaspora"
13465: LACS,"Women In Latin Amer"
13466: LACS,"Women in Latin America"
13467: LANG,"200-300 Level Elective"
13468: LANG,"300-400 Level Elective"
13469: LANG,"Adv.Foreignlang.Stud"
13470: LANG,"Advanced Japanese I"
13471: LANG,"Advanced Japanese II"
13472: LANG,"Advanced Workshop in Japanese"
13473: LANG,"Comparative Grammar"
13474: LANG,"Elementary Japanese I"
13475: LANG,"Elementary Japanese II"
13476: LANG,"Elementary Japanese: Intensive"
13477: LANG,"Int.Foreignlang.Stud"
13478: LANG,"Intermediate Japanese I"
13479: LANG,"Intermediate Japanese II"
13480: LANG,"Intro Romance Lang 2"
13481: LANG,"Intro to Romance Linguistics I"
13482: LANG,"Old French"
13483: LANG,"Spec Topics Japanese Lit"
13484: LANG,"Std Compar Rom Lit 1"
13485: LANG,"Std Compar Rom Lit 2"
13486: LANG,"Topics in Japanese Literature"
13487: LANG,"Tutorial In Japanese"
13488: LANG,"Workshop in Japanese"
13489: LATI,"Caesar’s Commentaries"
13490: LATI,"Catullus and the Elegiac Poets"
13491: LATI,"Comparative Grammar"
13492: LATI,"Honors Research"
13493: LATI,"Indiv Adv Foreign Lang Study"
13494: LATI,"Int Foreign Language Study"
13495: LATI,"Intermediate Latin Tutorial"
13496: LATI,"Introduction to Latin I"
13497: LATI,"Introduction to Latin II"
13498: LATI,"Introduction to Latin III"
13499: LATI,"Lat Prose Comp&Styl"
13500: LATI,"Livy’s History of Rome"
13501: LATI,"Lucrtius-Nat Of Thng"
13502: LATI,"Personal Correspondence"
13503: LATI,"Prose&Poetry Rom Rep"
13504: LATI,"Rom Wrtrs 1st and 2nd Cen A.D."
13505: LATI,"Roman Comedy"
13506: LATI,"The Roman Novel"
13507: LATI,"The Works of Cicero"
13508: LATI,"The Works of Horace"
13509: LATI,"The Works of Ovid"
13510: LATI,"The Works of Tacitus"
13511: LATI,"Tutorial"
13512: LATI,"Vergil’s Aeneid"
13513: LATI,"Vergil’s Eclogues and Georgics"
13514: LESP,"Eng Comp & Stylistics"
13515: LESP,"Hnrs Seminar-Social Sciences"
13516: LESP,"Hnrs Smnr-Fine&Performing Arts"
13517: LESP,"Hon Sem-Math Rsng: Shape Space"
13518: LESP,"Hon Sem-Math Rsng: Undstg Math"
13519: LESP,"Honors Seminar"
13520: LESP,"Honors Seminar in Humanities"
13521: LESP,"Honors Seminar in Math Reason"
13522: LESP,"Honors Seminar in Nat Sciences"
13523: LESP,"Honors Tutorial"
13524: LESP,"Independent Study"
13525: LESP,"The Scientific Revolution"
13526: LING,"Acoustic Phonetics"
13527: LING,"African languages"
13528: LING,"Anat&Phys Spe Mechs"
13529: LING,"Anthropological Linguistics"
13530: LING,"Articulatory Phonetcs"
13531: LING,"Bilingualism"
13532: LING,"Comparative Grammar"
13533: LING,"Convers & Discourse Analysis"
13534: LING,"Historical Linguistics"
13535: LING,"History of a Language"
13536: LING,"History ofthe Spanish Language"
13537: LING,"Honors Tutorial"
13538: LING,"Intermediate Logic"
13539: LING,"Internet Linguistics"
13540: LING,"Introduction To Phonology"
13541: LING,"Introduction to Linguistics"
13542: LING,"Introduction to Syntax"
13543: LING,"Language Acquisition"
13544: LING,"Language and Communication"
13545: LING,"Language and Culture"
13546: LING,"Logical Theory"
13547: LING,"Phonetics and Diction"
13548: LING,"Pragmatics"
13549: LING,"Readings in Linguistics"
13550: LING,"Semantics"
13551: LING,"Sociolinguistics"
13552: LING,"Struct Modern Englsh"
13553: LING,"The Evolution of Language"
13554: LING,"The Phenomena of Language"
13555: LING,"The Psychology of Literacy Dev"
13556: LING,"Women13557: MAEN,"CUNY Enroute Masters"
13558: MAHC,"Hnrs English:Composition&Style"
13559: MAHC,"Research Seminar"
13560: MAHC,"Science&Technology in NYC"
13561: MAHC,"Shaping the Future of NYC"
13562: MAHC,"SpecTopics:POL13563: MAHC,"Special Topics: Cult & Society"
13564: MAHC,"The Arts in New York City"
13565: MAHC,"The Peopling of New York City"
13566: MAOM,"Maintain Matriculation"
13567: MATH,"2ndry Mat-Adv Stndpt"
13568: MATH,"Adv  Probability &Applications"
13569: MATH,"Adv Financial Math & Applicatn"
13570: MATH,"Adv Financ’l Math&Applications"
13571: MATH,"Adv Probability & Applications"
13572: MATH,"Advanced Euclidean Geometry"
13573: MATH,"Advanced Linear Algebra"
13574: MATH,"Algebra"
13575: MATH,"Algebra and Geometry"
13576: MATH,"Algebra and Number Systems I"
13577: MATH,"Algebra and Number Systems II"
13578: MATH,"Analysis I"
13579: MATH,"Analysis II"
13580: MATH,"App Stat & Comp Analys Soc Sci"
13581: MATH,"Appl Of Discrete Mat"
13582: MATH,"Appl Real&Complx Num"
13583: MATH,"Applied Mathematics I"
13584: MATH,"Applied Mathematics II"
13585: MATH,"Arith & Analytc Skls"
13586: MATH,"Arithmetic"
13587: MATH,"Axiomatic Geometry"
13588: MATH,"Calculus I"
13589: MATH,"Calculus I Laboratory"
13590: MATH,"Calculus II"
13591: MATH,"Calculus II Laboratory"
13592: MATH,"Calculus on Mainifolds"
13593: MATH,"Calculus on Manifolds"
13594: MATH,"Codes and Number Patterns"
13595: MATH,"College Algebra"
13596: MATH,"Comp Applic Math & Sci I"
13597: MATH,"Compu Appl Mat&Sci 2"
13598: MATH,"Computer/Calculator Usage"
13599: MATH,"Concepts & Uses Math"
13600: MATH,"Cryptography"
13601: MATH,"Differential Geometry"
13602: MATH,"Elementary Alg&Geom"
13603: MATH,"Elementary Algebra"
13604: MATH,"Elementary Algebra 1"
13605: MATH,"Elements of Calculus"
13606: MATH,"Elements of Linear Algebra"
13607: MATH,"Elements of Precalculus"
13608: MATH,"Explor Mat Using Tec"
13609: MATH,"Financial Mathematics"
13610: MATH,"Foundations of Data Science"
13611: MATH,"Foundations of Mathematics"
13612: MATH,"Gambling and Games of Chance"
13613: MATH,"Game Thry&Linear Prg"
13614: MATH,"Games and Puzzles"
13615: MATH,"General Topology"
13616: MATH,"Geometry"
13617: MATH,"Geometry and the Real World"
13618: MATH,"History of Mathematics"
13619: MATH,"Immersive Algebra"
13620: MATH,"Immersive Precalculus"
13621: MATH,"Independent Study"
13622: MATH,"Intermediate Algebra"
13623: MATH,"Intermediate Vector Calculus"
13624: MATH,"Intrmdiate Algebra 2"
13625: MATH,"Intro Alg&Num Theo 2"
13626: MATH,"Intro Num Thry & Mdrn Algeb I"
13627: MATH,"Introduction to Applied Math"
13628: MATH,"Introduction to Statistics"
13629: MATH,"Introduction to Topology"
13630: MATH,"Mastrs Comprehensive"
13631: MATH,"Mastrs Thesis Resrch"
13632: MATH,"Math Methods For Management"
13633: MATH,"Math Models In Social Science"
13634: MATH,"Math-Games Of Chance"
13635: MATH,"Mathematical Logic"
13636: MATH,"Mathematical Logic I"
13637: MATH,"Mathematical Logic II"
13638: MATH,"Mathematical Statistics"
13639: MATH,"Modern Algebra"
13640: MATH,"Non-Euclidean Geometries"
13641: MATH,"Operations Research"
13642: MATH,"Ord Differential Equations"
13643: MATH,"Part Dif Equatn &App"
13644: MATH,"Partial Differential Equations"
13645: MATH,"Precalculus"
13646: MATH,"Prob Solv Approach to Math"
13647: MATH,"Probability"
13648: MATH,"Probability and Statistics"
13649: MATH,"Quantitative Reasoning"
13650: MATH,"Seminar"
13651: MATH,"Seminar in Algebra"
13652: MATH,"Seminar in Geometry"
13653: MATH,"Set Theory"
13654: MATH,"Sets and Infinity"
13655: MATH,"Spec Tpcs Appld Math"
13656: MATH,"Special Topics in Algebra"
13657: MATH,"Special Topics in Analysis"
13658: MATH,"Special Topics in Geometry"
13659: MATH,"Stat For Hea Bio Sci"
13660: MATH,"Statistical Inference"
13661: MATH,"Statistics for Biologists"
13662: MATH,"Techniques in Data Science"
13663: MATH,"Theo Func Cmplx Var1"
13664: MATH,"Theo Func Cmplx Var2"
13665: MATH,"Theory Funct of Real Variable"
13666: MATH,"Theory of Functions of a Real"
13667: MATH,"Theory of Numbers"
13668: MATH,"Thry Funct Complx Variable"
13669: MATH,"Topcs-Elementry Math"
13670: MATH,"Topics in Algebra"
13671: MATH,"Topics in Discrete Mathematics"
13672: MATH,"Topics in Mathematics"
13673: MATH,"Topology"
13674: MATH,"Topology and Analysis I"
13675: MATH,"Topology and Analysis II"
13676: MATH,"Tpcs: Elementry Math"
13677: MATH,"Transformation Geometry"
13678: MATH,"Trees13679: MATH,"Trigonometry"
13680: MATH,"Vector Calculus"
13681: MATH,"Views of Geometry"
13682: MATH,"Voting and Polling Problems"
13683: MEAS,"Advanced Hebrew"
13684: MEAS,"Contemporary Islamic Movements"
13685: MEAS,"Gender&Society in Mid E&N Afr"
13686: MEAS,"Hist Women & Soc Islamic M.E."
13687: MEAS,"Intro Middle Eastern Studies"
13688: MEAS,"Islamic Civilization"
13689: MEAS,"Mid East: His13690: MEAS,"Middle East: Regional Geo Pers"
13691: MEAS,"Modern Middle Eastern History"
13692: MEAS,"Ottoman History"
13693: MEAS,"Political Systems Middle East"
13694: MEAS,"Society13695: MEAS,"Socio Persp on Dynmcs of Gndr"
13696: MEAS,"The Arab-Israeli Confict"
13697: MEAS,"The Modern Hebrew Novel"
13698: MECO,"Advertising"
13699: MECO,"African American Media"
13700: MECO,"Asian Cinema"
13701: MECO,"Broadcast Programming"
13702: MECO,"Communication in Society"
13703: MECO,"Corporate Communication"
13704: MECO,"Digital Marketing Strategies"
13705: MECO,"Evolution of Television"
13706: MECO,"Global Cinema"
13707: MECO,"Honors Colloqu Media Comm Stds"
13708: MECO,"Honrs Tutorial-Media Comm Stud"
13709: MECO,"Independ Proj-Media Comm Stud"
13710: MECO,"Intro Media & Digital Culture"
13711: MECO,"Introduction Public Relations"
13712: MECO,"Latino Media"
13713: MECO,"Mass Media and Public Policy"
13714: MECO,"Media Industries I"
13715: MECO,"Media Industries II"
13716: MECO,"Media Relations"
13717: MECO,"Oral Communication"
13718: MECO,"Persuasion"
13719: MECO,"Public Relations and Marketing"
13720: MECO,"Technology and Communications"
13721: MECO,"The Anthropology of Media"
13722: MECO,"The Documentary"
13723: MECO,"The Thought Persuaders"
13724: MECO,"Topics in Media Communications"
13725: MESG,"RC_Math&Quant. Reasoning - SEP"
13726: MUPD,"200-Level Elective"
13727: MUPD,"400-Level Elective"
13728: MUPD,"Acting for the Camera"
13729: MUPD,"Advanced Audio Production"
13730: MUPD,"Advertising"
13731: MUPD,"Africa in Cinema"
13732: MUPD,"African American Media"
13733: MUPD,"African Americans in Cinema"
13734: MUPD,"Argumentation and Advocacy"
13735: MUPD,"Audio Production"
13736: MUPD,"Audiovisual Production"
13737: MUPD,"Broadcast & Production Wksp"
13738: MUPD,"Broadcast Journalism"
13739: MUPD,"Broadcast Programming"
13740: MUPD,"Broadcast Workshop"
13741: MUPD,"Cinema Esthetics and Criticism"
13742: MUPD,"Communcation-Busin & Industry"
13743: MUPD,"Communication Theory"
13744: MUPD,"Communication in Society"
13745: MUPD,"Contemporary Rhetorical Theory"
13746: MUPD,"Contemporary Speeches"
13747: MUPD,"Contmp Tpcs-Persuas"
13748: MUPD,"Corp.Media & Commun."
13749: MUPD,"Debate Workshop"
13750: MUPD,"Decision Making"
13751: MUPD,"Digital Editing"
13752: MUPD,"Digital Photojournalism"
13753: MUPD,"Dynamics of Persuasion"
13754: MUPD,"Ethnic TV"
13755: MUPD,"Field Video Production"
13756: MUPD,"Film Directing"
13757: MUPD,"Film Production"
13758: MUPD,"Foundations of Broadcasting"
13759: MUPD,"Foundations of Media"
13760: MUPD,"Freedom of Speech"
13761: MUPD,"Fund.Massmedia Writ."
13762: MUPD,"Funds of Oral Comm"
13763: MUPD,"Group Communication"
13764: MUPD,"Grt Spchs W.Civilztn"
13765: MUPD,"History Of Cinema 2"
13766: MUPD,"History of Cinema II"
13767: MUPD,"History of the Cinema I"
13768: MUPD,"History of the Cinema II"
13769: MUPD,"Ind Study Mass Comm"
13770: MUPD,"Ind Sty Communc Arts"
13771: MUPD,"Inside Lehman"
13772: MUPD,"Internship I"
13773: MUPD,"Internship II"
13774: MUPD,"Interper&Grp Commun"
13775: MUPD,"Interpersonal&Small Group Com"
13776: MUPD,"Intro to Multilingual Media"
13777: MUPD,"Introduction to French Cinema"
13778: MUPD,"Italian Cinema"
13779: MUPD,"Journalism in the Movies"
13780: MUPD,"Language and Communication"
13781: MUPD,"Latin-American Cinema"
13782: MUPD,"Latinos in Film"
13783: MUPD,"Literary Journalism"
13784: MUPD,"Mass Media and Public Policy"
13785: MUPD,"Media-Thght Prsuadrs"
13786: MUPD,"Multimedia Journal Elect Crd"
13787: MUPD,"Multimedia Performing Arts Pro"
13788: MUPD,"Multimedia Studies Elect Crd"
13789: MUPD,"New Media"
13790: MUPD,"Non-Linear Editing"
13791: MUPD,"Not Yet Evaluated"
13792: MUPD,"On-Camera Technique"
13793: MUPD,"Opinion Writing &Talking Heads"
13794: MUPD,"Oral Interp. Liter"
13795: MUPD,"Perception13796: MUPD,"Persuasion"
13797: MUPD,"Philosophy and Film"
13798: MUPD,"Public Speaking"
13799: MUPD,"Resch Communctn Arts"
13800: MUPD,"Research Project in Multimedia"
13801: MUPD,"Resrch Mass Communic"
13802: MUPD,"Rhetorical Theory & Criticsm"
13803: MUPD,"Screenwriting"
13804: MUPD,"Semi in Comm Thry & Resrch"
13805: MUPD,"Spec Stdy Comm Arts"
13806: MUPD,"Spec Studies in Mass Communic"
13807: MUPD,"Spokn Eng As 2d Lang"
13808: MUPD,"Sports Reporting"
13809: MUPD,"TV Studio Production"
13810: MUPD,"Television Directing"
13811: MUPD,"Television Production"
13812: MUPD,"The African American Media"
13813: MUPD,"The Anthropology of Media"
13814: MUPD,"The Bronx Journal TV Workshop"
13815: MUPD,"The Bronx Journal Workshop"
13816: MUPD,"The Documentary"
13817: MUPD,"Voice Production"
13818: MUPD,"Voice and Articulation"
13819: MUPD,"Voice and Speech for the Actor"
13820: MUPD,"Voice-Over for Radio/TV"
13821: MUPD,"Women13822: MUPD,"Women/Minorit/Media"
13823: MUPD,"Writing for the Mass Media"
13824: MUSI,"2ndry Instrum Ensmb1"
13825: MUSI,"2ndry Instrum Ensmb2"
13826: MUSI,"Advanced Conducting"
13827: MUSI,"Advanced Ear Training"
13828: MUSI,"Advanced Musical Analysis"
13829: MUSI,"Advanced Musicianship"
13830: MUSI,"American Popular Music"
13831: MUSI,"Assess PS Instrumental Music"
13832: MUSI,"Brass I"
13833: MUSI,"Brass II"
13834: MUSI,"Career Development for Music P"
13835: MUSI,"Chamber Choir"
13836: MUSI,"Chamber Ensemble"
13837: MUSI,"Choral Literature"
13838: MUSI,"Chorus"
13839: MUSI,"College Choir"
13840: MUSI,"Composition"
13841: MUSI,"Composition I"
13842: MUSI,"Composition II"
13843: MUSI,"Concert Band"
13844: MUSI,"Conducting"
13845: MUSI,"Creating Music with Computers"
13846: MUSI,"Definng Mmnts Film Scoring His"
13847: MUSI,"Ensmbl Voice&Instrum"
13848: MUSI,"Entrepreneurship Music Indstry"
13849: MUSI,"Eval Assess Criteria/Tech/Mus"
13850: MUSI,"Folk and Traditional Music"
13851: MUSI,"Form and Analysis I"
13852: MUSI,"Form and Analysis II"
13853: MUSI,"Fugue I"
13854: MUSI,"Fugue II"
13855: MUSI,"Fundamentals of Film Music"
13856: MUSI,"Fundamentals of Music Theory"
13857: MUSI,"Group Piano 2"
13858: MUSI,"Group Piano 3"
13859: MUSI,"Group Piano I"
13860: MUSI,"Guitar 2"
13861: MUSI,"Guitar Ensemble"
13862: MUSI,"Guitar I"
13863: MUSI,"History of Jazz"
13864: MUSI,"Independent Studies in Music"
13865: MUSI,"Independent Study Music Theory"
13866: MUSI,"Independent Study:Mus History"
13867: MUSI,"Instruct Princ Instr or Voice"
13868: MUSI,"Instrumental Mus Edu"
13869: MUSI,"Instrumental Music Methods"
13870: MUSI,"Instrumntl Lab Ensmb"
13871: MUSI,"Interm Non-Western Concepts"
13872: MUSI,"Intro Struct Music 1"
13873: MUSI,"Intro Struct Music 2"
13874: MUSI,"Intro To Music"
13875: MUSI,"Intro to Music History & Cult"
13876: MUSI,"Introduction to Music"
13877: MUSI,"Introduction to Music Therapy"
13878: MUSI,"Italian Opera"
13879: MUSI,"Jazz Band"
13880: MUSI,"Jazz Lit&Evol -1950"
13881: MUSI,"Jazz: Literature and Evolution"
13882: MUSI,"Latin Band"
13883: MUSI,"Lit of Music: Chamber Music"
13884: MUSI,"Master Composers"
13885: MUSI,"Mus/Lit-Music Educat"
13886: MUSI,"Music Internship"
13887: MUSI,"Music Since 1945"
13888: MUSI,"Music and the Brain"
13889: MUSI,"Music of Baroque & Classical"
13890: MUSI,"Music of Middle Ages&Renaissan"
13891: MUSI,"Music of Romantic & Early Modn"
13892: MUSI,"MusicComputers&MultimediaPedag"
13893: MUSI,"Musicianship I"
13894: MUSI,"Musicianship II"
13895: MUSI,"Musicianship III"
13896: MUSI,"Musicianship IV"
13897: MUSI,"New Jazz Lit for Music Eductrs"
13898: MUSI,"New Wind Lit for Music Eductrs"
13899: MUSI,"Opera 1830-20th Cent"
13900: MUSI,"Opera: 1600 to 1830"
13901: MUSI,"Orchestra"
13902: MUSI,"Orchestral Music"
13903: MUSI,"Orchestration I"
13904: MUSI,"Orchestration II"
13905: MUSI,"Percuss Instrument Music Edu"
13906: MUSI,"Percuss Instrumental Music Edu"
13907: MUSI,"Percussion"
13908: MUSI,"Percussion Ensemble"
13909: MUSI,"Percussion Instru Music Edu"
13910: MUSI,"Perf Pract-Baroque to Present"
13911: MUSI,"Performance I"
13912: MUSI,"Performance II"
13913: MUSI,"Performance III"
13914: MUSI,"Performance IV Graduation Reci"
13915: MUSI,"Piano Music"
13916: MUSI,"Piano for Music Teachers"
13917: MUSI,"Practicum in Music Therapy"
13918: MUSI,"Public-Schl Ensemble Progrmng"
13919: MUSI,"Recording Tech. & Studio Prod."
13920: MUSI,"Rhythmic Conpts of India&Ghana"
13921: MUSI,"Scoring for Media"
13922: MUSI,"Senior Project"
13923: MUSI,"Singing for the Stage"
13924: MUSI,"Spec Techniques in Piano/Tchrs"
13925: MUSI,"Spec-Topics-Mus Perf"
13926: MUSI,"Special Topics - Music History"
13927: MUSI,"Special Topics in Music Theory"
13928: MUSI,"Strings I"
13929: MUSI,"Strings II"
13930: MUSI,"The Art Song"
13931: MUSI,"The Chamber Choir"
13932: MUSI,"The College Choir"
13933: MUSI,"The Concerto"
13934: MUSI,"The Operas of Mozart"
13935: MUSI,"The Operas of Wagner"
13936: MUSI,"TheAmerican Musical Experience"
13937: MUSI,"Theory I"
13938: MUSI,"Theory II"
13939: MUSI,"Theory III"
13940: MUSI,"Theory IV"
13941: MUSI,"Topics in Ethnomusicology"
13942: MUSI,"Tops:Instru. Mus Ed"
13943: MUSI,"Tpcs:Inst.Music Educ"
13944: MUSI,"Twentieth-Century Opera"
13945: MUSI,"Vocal Pedagogy"
13946: MUSI,"Voice and Diction 1"
13947: MUSI,"Voice and Diction 2"
13948: MUSI,"Woodwinds I"
13949: MUSI,"Woodwinds II"
13950: MUSI,"World Music"
13951: NASS,"Biomed Research & Career Smnr"
13952: NASS,"Intro to Scientific Research"
13953: NASS,"Med School Admissions Process"
13954: NASS,"Natural Science Req1"
13955: NASS,"Pre-Professional Seminar"
13956: NASS,"Research Shadowing Experience"
13957: NASS,"Science Internship"
13958: NURS,"Admn-Hlth Care Systm"
13959: NURS,"Adult Health Nursing I"
13960: NURS,"Adult Health Nursing II"
13961: NURS,"Adv Family Nursing Prac III"
13962: NURS,"Adv Family Nursing Pract II"
13963: NURS,"Adv Family Nursing Practice I"
13964: NURS,"Advanced Health Assessment"
13965: NURS,"Advanced Nursing Practice"
13966: NURS,"Advanced Nursing Practice II"
13967: NURS,"Advanced Nursing Practice III"
13968: NURS,"Advanced Pathophysiology"
13969: NURS,"Advanced Pharmacology"
13970: NURS,"Advanced Practice I"
13971: NURS,"Advanced Professional Seminar"
13972: NURS,"Altered Health States"
13973: NURS,"Analysis & Act-Commn Health"
13974: NURS,"Applc Promot Stratgs"
13975: NURS,"Aspct Nur Anesthesia"
13976: NURS,"Biostatistics Health Research"
13977: NURS,"Clinical Decision Making"
13978: NURS,"Cult Persp Hlth Care"
13979: NURS,"Cult Persp-Natality"
13980: NURS,"Curr Design & Program Eval"
13981: NURS,"Death13982: NURS,"Epidemiology"
13983: NURS,"Essent Of Clinic Research"
13984: NURS,"Evidence Based Prac I: Methods"
13985: NURS,"Evidence Based Practice II:"
13986: NURS,"Family Developmental Theory"
13987: NURS,"Financial Mngmnt&Bdgt Planning"
13988: NURS,"Gender Issues and Stress"
13989: NURS,"Genomics"
13990: NURS,"Growth & Develpmnt 1"
13991: NURS,"Growth & Develpmnt 2"
13992: NURS,"Growth and Development"
13993: NURS,"Health Policy"
13994: NURS,"Hlth Plan&Pol Making"
13995: NURS,"Honors Project"
13996: NURS,"Human Science in Nursing"
13997: NURS,"Ind St:Extra-Clinical Research"
13998: NURS,"Ind Stdy: Implementation Res"
13999: NURS,"Independent Study in Nursing"
14000: NURS,"Leadership Cmplx Hlth Care Sys"
14001: NURS,"Legal/Ethic Cont Nur"
14002: NURS,"Master’s Project Seminar"
14003: NURS,"Msrmnt & Eval of Tchng & Lrng"
14004: NURS,"Nurs Role-Prof Dvlpm"
14005: NURS,"Nurse Pract 01: Adv Nurse Role"
14006: NURS,"Nurse Pract 02:Nurse Adm Role"
14007: NURS,"Nurse Pract 03:Nurse Edu Role"
14008: NURS,"Nursing Informatics"
14009: NURS,"Nursing as a Human Science"
14010: NURS,"Nursing of Older Adults I"
14011: NURS,"Nursing of Older Adults II"
14012: NURS,"Parent-Child Nursing I"
14013: NURS,"Parent-Child Nursing II"
14014: NURS,"Pharmacologic Basis of Nursing"
14015: NURS,"Pharmacology of Anesthesia"
14016: NURS,"Pract I:Hlth Lit & Prmry Care"
14017: NURS,"Practicum II"
14018: NURS,"Practicum III"
14019: NURS,"Principles of Anesthesia I"
14020: NURS,"Principles of Anesthesia II"
14021: NURS,"Principles of Anesthesia III"
14022: NURS,"Principles of Anesthesia IV"
14023: NURS,"Principles of Anesthesia V"
14024: NURS,"Professional Nursing Practice"
14025: NURS,"Professionl Nur Mgmt"
14026: NURS,"Theories Transcltrl Nur & Hlth"
14027: NURS,"Thera Inter V: Nrsng Synthesis"
14028: NURS,"Therapeut Interven 3"
14029: NURS,"Therapeut Interven 4"
14030: NURS,"Therapeut Intervn 2"
14031: NURS,"Therapeutc Interv 1"
14032: NURS,"Topics in Nursing"
14033: NURS,"Total Qualty Mangmnt"
14034: NURS,"Transitional Issues in Nursing"
